Column,Type,Block,Meaning,Missing,StataName
DocID,VARCHAR,Identification,"One registrant's copy of an Exhibit 10 attachment: the registrant's CIK and a hash of the attachment, joined by a hyphen. Unique in this table and the key every other table joins on.",never,DocID
HashDocument,VARCHAR,Identification,"Hash of the attachment's content. Shared by all registrant copies of one document, so it groups the copies of one contract.",never,HashDocument
HashIndex,VARCHAR,Identification,The filing that carried the attachment. Joins to Summaries (the filing's announcement) and CtoOrders.,never,HashIndex
CIK,VARCHAR,Identification,"The registrant's Central Index Key on EDGAR. With DateFiled, the key for matching other databases.",never,CIK
CompanyName,VARCHAR,Identification,The registrant's name as EDGAR recorded it for this filing.,never,CompanyName
DocName,VARCHAR,Identification,EDGAR's file name of the attachment. With the CIK and the accession number it locates the document on EDGAR.,never,DocName
DocSeq,INTEGER,Identification,Position of the attachment in the filing's list of documents.,never,DocSeq
UrlDocument,VARCHAR,Identification,Address of the attachment on EDGAR.,never,UrlDocument
UrlIndexPage,VARCHAR,Identification,"Address of the filing's index page on EDGAR, which lists every document of the filing and contains the accession number.",never,UrlIndexPage
DocTypeRaw,VARCHAR,Identification,"The exhibit type as filed, such as EX-10.1 or EX-10.23.",never,DocTypeRaw
DocTypeMod,VARCHAR,Identification,The exhibit type reduced to its family: Exhibit10 on every row of this table.,never,DocTypeMod
DocDesc,VARCHAR,Identification,"The filer's own description of the exhibit, as free text.",the filer gave none,DocDesc
FormType,VARCHAR,Identification,"The form the attachment was filed with: 8-K, 10-K, 10-Q, S-1 and so on.",never,FormType
DocExt,VARCHAR,Identification,"File type of the attachment: htm, html, txt or pdf; a few are written in upper case.",never,DocExt
DateFiled,DATE,Identification,The day EDGAR accepted the filing.,never,DateFiled
nWords,INTEGER,Text,Words in the attachment's text.,the attachment holds no readable text,nWords
nWordsAdj,INTEGER,Text,nWords without the words of EDGAR's document header.,the attachment holds no readable text,nWordsAdj
nChars,INTEGER,Text,Characters in the attachment's text (TextRaw in text/). Every span offset counts characters of this text.,the attachment holds no readable text,nChars
nNums,INTEGER,Text,Numeric tokens in the text.,the attachment holds no readable text,nNums
pStopShort,DOUBLE,Text,Share of tokens that are short function words. A low value marks a document that is not running prose.,the attachment holds no readable text,pStopShort
Removed,BOOLEAN,Screening,"TRUE where the attachment failed the screen for usable text (reason in RemClass). These attachments stay in the table, flagged, so that what was set aside remains visible.",never,Removed
RemClass,VARCHAR,Screening,"Why the attachment was set aside: too short, not prose, mostly digits, or no readable text.",Removed is FALSE,RemClass
nCIK,INTEGER,Copies,Number of registrants the filing names.,never,nCIK
MultFiler,INTEGER,Copies,"1 where the filing names more than one registrant, so that the attachment appears once per registrant.",never,MultFiler
FilerCopiesAgree,INTEGER,Copies,"1 where all registrant copies of the attachment have the same length. Where they differ (one attachment in the corpus), the entity variables describe the primary copy.",never,FilerCopiesAgree
PrimaryFiler,INTEGER,Copies,1 on the one copy of each attachment the entity variables were computed from; the other copies carry the same values. Count contracts on PrimaryFiler == 1.,never,PrimaryFiler
SampleStepCode,INTEGER,Sample,"The step of the paper's sample selection at which the attachment leaves the sample, as a sortable code; 6 is the final sample.",never,SampleStepCode
SampleStepDesc,VARCHAR,Sample,"The same step in words: outside 2001-2024, malformed document, CIK not in Compustat, several Compustat quarters matched, no Compustat match on the filing date, or final sample.",never,SampleStepDesc
DescSample,INTEGER,Sample,1 where the attachment is in the paper's descriptive sample.,never,DescSample
EstiSample,INTEGER,Sample,"1 where the attachment is in the paper's estimation sample, which requires a Compustat match on CIK and filing date. The matched Compustat data are not published.",never,EstiSample
HasCto,INTEGER,Orders,1 where a confidential treatment order granted treatment for this contract. Orders that denied or revoked treatment do not count.,never,HasCto
nCtoOrders,INTEGER,Orders,"Number of granting confidential treatment orders that name the contract, extensions included.",never,nCtoOrders
CtoReleaseFirst,DATE,Orders,"Earliest date on which the granted treatment ends, across those orders.","no granting order names the contract, or none states an end date (common after 2019)",CtoReleaseFirst
CtoReleaseLast,DATE,Orders,"Latest date on which the granted treatment ends, across those orders.",as CtoReleaseFirst,CtoReleaseLast
CtoIsExtension,INTEGER,Orders,1 where any of those orders extends an earlier grant.,never,CtoIsExtension
nItems,INTEGER,Items,Number of items the filing that carried the attachment reports (8-K filings).,"the filing reports no items (10-K, 10-Q and other forms)",nItems
nItemsDotted,INTEGER,Items,"How many of those items use the numbering introduced in 2004 (1.01, 2.02, ...).","the filing reports no items (10-K, 10-Q and other forms)",nItemsDotted
nItemsVoluntary,INTEGER,Items,"Items the registrant chose to report: 2.02, 7.01 and 8.01 from 2004, and their predecessors 12, 9 and 5 before.","the filing reports no items (10-K, 10-Q and other forms)",nItemsVoluntary
nItemsMandatory,INTEGER,Items,"Items the registrant had to report, triggered by an event.","the filing reports no items (10-K, 10-Q and other forms)",nItemsMandatory
nItemsUnknown,INTEGER,Items,Items whose code belongs to neither numbering; zero on every row of this table.,"the filing reports no items (10-K, 10-Q and other forms)",nItemsUnknown
ItemEra,VARCHAR,Items,"Which numbering the filing uses: Post (from 2004), Pre, or Mixed. Read from the codes, not the date.","the filing reports no items (10-K, 10-Q and other forms)",ItemEra
ItemCodes,VARCHAR,Items,"Every item the filing reports, separated by |, in the order reported.","the filing reports no items (10-K, 10-Q and other forms)",ItemCodes
ReportsItem101,INTEGER,Items,"1 where the filing reports Item 1.01, entry into a material definitive agreement.","the filing reports no items (10-K, 10-Q and other forms)",ReportsItem101
ReportsItem202,INTEGER,Items,"1 where the filing reports Item 2.02, results of operations (Item 12 before 2004).","the filing reports no items (10-K, 10-Q and other forms)",ReportsItem202
ReportsItem701,INTEGER,Items,"1 where the filing reports Item 7.01, Regulation FD disclosure (Item 9 before 2004).","the filing reports no items (10-K, 10-Q and other forms)",ReportsItem701
