Key,Value
package.version,v1.0.0
package.files,124
package.bytes,49546773559
folder.files.root,1
folder.files.core,16
folder.files.lexnlp,4
folder.files.models,9
folder.files.spans,7
folder.files.text,86
folder.bytes.root,4718
folder.bytes.core,424184664
folder.bytes.lexnlp,316621664
folder.bytes.models,2435592378
folder.bytes.spans,1098309690
folder.bytes.text,45272060445
rows.contracts,1462939
rows.summaries,278997
rows.places,9545088
rows.termdocs,5949025
rows.ctoorders,32410
rows.labels,4398
rows.keywordterms,160
spans.org_mentions,20892362
spans.places_geo,27641886
spans.law_clauses,2460367
spans.date_spans,17530100
spans.term_spans,2831912
spans.redact_spans,9986101
spans.total,81342728
text.documents.exhibit10,1462939
text.documents.8k,271281
text.documents.8ka,7716
text.documents.cto,16244
text.years.exhibit10,26
models.count,6
